Operation,Time Taken
BST_Insert_100,0.007338352271207524
BST_Insert_1000,0.0018931020908481019
BST_Insert_10000,0.035361613633788445
BST_Insert_100000,0.3809668293661988
BST_Insert_1000000,7.322757178002079
BST_Search_10,4.35599940828979e-06
BST_Search_100,4.254172778349709e-05
BST_Search_1000,0.0007223636361727999
BST_Search_10000,0.00802164008862085
BST_Search_100000,0.10410259846354496
BST_Delete_10,1.6106094170192424e-05
BST_Delete_100,0.00015037118150344625
BST_Delete_1000,0.0018702080944256688
BST_Delete_10000,0.022429401719074867
BST_Delete_100000,0.30654379163487727
AVL_Insert_100,0.000364897820294242
AVL_Insert_1000,0.00523962154825726
AVL_Insert_10000,0.07124268191083419
AVL_Insert_100000,0.9456794733679007
AVL_Insert_1000000,16.25811080290904
AVL_Search_10,4.772919716990807e-06
AVL_Search_100,5.722318151542409e-05
AVL_Search_1000,0.0009207575481427325
AVL_Search_10000,0.011847189452964813
AVL_Search_100000,0.1929156475446441
AVL_Delete_10,5.083709203807468e-05
AVL_Delete_100,0.000505428089209917
AVL_Delete_1000,0.006741784087022428
AVL_Delete_10000,0.08270147355241617
AVL_Delete_100000,1.0486868900955992
SkipList_Insert_100,0.00032534090992571277
SkipList_Insert_1000,0.003708272817840969
SkipList_Insert_10000,0.04430678781037303
SkipList_Insert_100000,0.6916327008115001
SkipList_Insert_1000000,15.034342882456258
SkipList_Search_10,1.9886454207484018e-05
SkipList_Search_100,0.00021993955173953012
SkipList_Search_1000,0.0027663940934210336
SkipList_Search_10000,0.034694435641127216
SkipList_Search_100000,0.3642276929061733
SkipList_Remove_10,3.626518247818405e-05
SkipList_Remove_100,0.00022421191203069281
SkipList_Remove_1000,0.0029092613655269483
SkipList_Remove_10000,0.033769132545620036
SkipList_Remove_100000,0.36583983699727635
